,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10,PM2.5,TSP (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,Black Carbon,Web link to station meta data page
,Port Kembla (2002; 2014-15),Research Monitoring,Illawarra,Blaxland Ave and Flagstaff Rd,-34.47964,150.88170,59,2002,Decommissioned (2015),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,,,,,ü,ü,,,,Not available
,Port Kembla Steelworks (2020),Research Monitoring,Illawarra,Flagstaff Road,-34.47892,150.87785,59,2020,Decommissioned (2020),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,Not available
,Wentworth Falls,Research Monitoring,Blue Mountains,Bodington Drive,-33.73277,150.38888,187,1998,Decommissioned (1999),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,ü,,ü,ü,,,ü,ü,,,,Not available
,Bushfire Emergency 2019-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batemans Bay,Bushfire Emergency,South East LLS,"Catalina Country Club, Beach Road",-35.72340,150.18720,83,2019,Decommissioned (2020),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,Looking for suitable site - not available yet
,Coffs Harbour,Bushfire Emergency,Mid-north Coast,"City Centre, Park off Duke St near Carralls Gully",-30.29831,153.11808,21,2019,Transitioned to long-term site; see Mid-north Coast region,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,ü,,ü,ü,,,,Looking for suitable site - not available yet
,Coffs Harbour,Bushfire Emergency,North Coast LLS,"City Centre, Park off Duke St near Carralls Gully",-30.29831,153.11808,21,2019,Decommissioned (2020),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,Not available
,Cooma,Bushfire Emergency,South East LLS,"Snowy Hydro Discover Centre carpark, Monaro Highway",-36.22260,149.13310,925,2020,Transitioned to long-term site; see South East LLS region,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,Not available
,Grafton,Bushfire Emergency,North Coast LLS,Grafton Primary Industries Institute ,-29.62069,152.96331,35,2019,Transitioned to long-term site; see North Coast LLS region,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,New site - not available yet
,Lismore,Bushfire Emergency,North Coast LLS,"Wilson Park School, Wyrallah Road",-28.83213,153.29350,12,2019,Standard site decommissioned (2020). Site transitioned to long-term indicative site; see North Coast LLS region,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,,,,,,,,,New site - not available yet
,Merimbula,Bushfire Emergency,South East LLS,Merimbula Airport,-36.90775,149.89893,6,2020,Transitioned to long-term site; see South East LLS region,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,Not available
,Port Macquarie,Bushfire Emergency,Mid-north Coast,10 Sherwood Road,-31.44776,152.87653,73,2019,Transitioned to long-term site; see Mid-north Coast region,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),"Originally at 7 Sherwood Road: -31.4485, 152.876707. Moved to current location on 4/10/2019",ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,Not available
,Taree,Bushfire Emergency,Hunter LLS,Taree Airport,-31.88944,152.50861,24,2019,Decommissioned (2020),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,New site - not available yet
,Ulladulla,Bushfire Emergency,South East LLS,"Light House Oval, Deering St",-35.36350,150.48280,15,2019,Decommissioned (2020),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,New site - not available yet
,Regional NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albury,Rural and regional NSW,South west slopes,Jelbart Park,-36.05183,146.93980,182,2000,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),250,ü,ü,,,,ü,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/albury
,Armidale,Rural and regional NSW,Northern Tablelands ,Kirkwood Street,-30.50845,151.66166,982,2018,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,ü,,,ü,ü,,ü,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/armidale
